,title,link,address,gps
30,"La fotografia ha 180 anni,  Il libro illustrato dall’incisione al digitale",http://www.trentotoday.it/eventi/mart-fotografia-2020.html,"Corso Bettini - Rovereto, Trento, Italia","[45.893923, 11.043605]"
31,"I diari, nuova mostra al Mart",http://www.trentotoday.it/eventi/mart-diari-2020.html,"Corso Bettini - Rovereto, Trento, Italia","[45.893923, 11.043605]"
32,Il Muro di Berlino in mostra,http://www.trentotoday.it/eventi/muro-berlino-gallerie-2020.html,"Via D&ograve;s Trento - Trento, Trento, Italia","[46.073542, 11.110165]"
33,"Terzo polo per le comunali? Nè destra, nè sinistra, e c'è anche la DC",http://www.trentotoday.it/politica/elezioni-comunali-rizzoli-centro.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
34,"Contributi ""facili"" all'Apt? Il Comune: ""A Trento un milione di turisti all'anno""",http://www.trentotoday.it/attualita/corte-conti-apt-contributi.html,"Piazza del Duomo - Trento, Trento, Italia","[46.067375, 11.120989]"
35,"""Violentata nel bagno di un locale del centro"": vittima una studentessa 20enne",http://www.trentotoday.it/cronaca/ragazza-violentata-locale-centro.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
36,Test del DNA ai cani anche in Trentino per multare i proprietari che non raccolgono gli escrementi,http://www.trentotoday.it/attualita/esame-dna-escrementi-cani.html,"Viale Verona - Trento, Trento, Italia","[46.046459, 11.129586]"
37,"Alessandro diventa Alexandra, la Cassazione approva: ""Ognuno sceglie il nome che vuole""",http://www.trentotoday.it/attualita/cambio-sesso-nome-anagrafe.html,"Via Carlo Antonio Pilati - Trento, Trento, Italia","[46.06602, 11.12722]"
38,"A22, lavori e lieve tamponamento: code di 4 chilometri",http://www.trentotoday.it/cronaca/incidente-stradale/a22-code-san-michele-18-febbraio.html,"Via Berlino - Trento, Trento, Italia","[46.07743, 11.109565]"
39,Malore collettivo in hotel a Folgarida: alcuni ragazzi si sono ammalati anche dopo,http://www.trentotoday.it/cronaca/albergo-folgarida-virus-studenti.html,"Via Francesco Barbacovi - Trento, Trento, Italia","[46.065313, 11.126664]"
40,A Rovereto dinosauri in carne e ossa,http://www.trentotoday.it/eventi/dinosauri-rovereto-2020.html,"Piazza della Manifattura, 1 - Rovereto, Trento, Italia","[45.883389, 11.021575]"
41,Tornano gli aperitvi d’ arte al Castello del Buonconsiglio,http://www.trentotoday.it/eventi/aperitivi-arte-buonconsiglio-2020.html,"Via Bernardo Clesio, 5 - Trento, Trento, Italia","[46.071736, 11.126753]"
42,"Case Itea solo ai ""trentini"", i sindacati: ""Così non si risolvono i problemi, servono più case""",http://www.trentotoday.it/politica/case-popolari-stranieri.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
43,Salvò una donna sul treno della Val Pusteria: medico-eroe premiato da Mattarella,http://www.trentotoday.it/attualita/medico-treno-salva-donna-premiato.html,"Largo Medaglie d&#039;oro - Trento, Trento, Italia","[46.057786, 11.132864]"
44,Carnevale a Piedicastello: gnocchi e grostoli per tutti,http://www.trentotoday.it/eventi/carnevale-piedicastello-2020.html,"Vicolo di Piedicastello - Trento, Trento, Italia","[46.071059, 11.114491]"
45,"Not, ancora un ricorso: nuovo ospedale ancora fermo",http://www.trentotoday.it/economia/ricorso-terzo-bando-not-ospedale.html,"Via al Desert - Trento, Trento, Italia","[46.049593, 11.116909]"
46,Casting per un film in Trentino: cercansi comparse dall'aspetto nordico,http://www.trentotoday.it/attualita/casting-film-trentino.html,"Via Giovanni Zanella - Trento, Trento, Italia","[46.0675, 11.118876]"
47,"A Bolzano tornano i voli di linea: Roma, Sicilia, Vienna",http://www.trentotoday.it/attualita/voli-bolzano-roma-vienna-sicilia.html,"Via Bolzano - Trento, Trento, Italia","[46.104564, 11.109925]"
48,"Un monumento ad Adreas Hofer a Mantova, e a Borghetto un nuovo cartello di confine",http://www.trentotoday.it/attualita/monumento-hofer-mantova.html,"Via Mantova - Trento, Trento, Italia","[46.067393, 11.124132]"
49,"Scomparsa nel nulla, l'appello: chi ha informazioni chiami questo numero",http://www.trentotoday.it/attualita/ilaria-matteucci-scomparsa-vadena.html,"Via Alto Adige - Trento, Trento, Italia","[46.127139, 11.109432]"
50,Ai discendenti degli emigranti trentini borse di studio per fare l'Università a Trento,http://www.trentotoday.it/formazione/universita/borse-studio-emigranti.trentini,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
51,Si schianta con gli sci a Madonna di Campiglio: non ce l'ha fatta Cristina Cesari,http://www.trentotoday.it/cronaca/cristina-cesari-morta-sci.html,"Largo Medaglie d&#039;oro - Trento, Trento, Italia","[46.057786, 11.132864]"
52,Diplomato con 100 e lode? La Provincia ti dà 2.000 euro per iscriverti all'Università,http://www.trentotoday.it/formazione/universita/borsa-studio-diploma-100-lode.html,"Via Giuseppe Verdi - Trento, Trento, Italia","[46.066523, 11.117443]"
53,Neonato trovato morto nei campi: per la madre l'accusa passa da omicidio ad infanticidio,http://www.trentotoday.it/cronaca/neonato-morto-infanticidio.html,"Via Bolzano - Trento, Trento, Italia","[46.104564, 11.109925]"
54,Segretari comunali scelti dai sindaci in Trentino Alto Adige: il Governo impugna la legge,http://www.trentotoday.it/politica/lamorgese-segretari-comunali.html,"Piazza Dante - Trento, Trento, Italia","[46.071449, 11.121209]"
55,Sale in vetta con gli sci ma non riesce più a scendere: recuperato con l'elicottero,http://www.trentotoday.it/cronaca/col-margherita-recuperato-elicottero.html,"Strada Statale 346 del Passo di San Pellegrino - Canazei, Trento, Italia","[46.372009, 11.739485]"
56,"Inaugurata la Fondazione Megalizzi, Sassoli: ""Antonio simbolo dell'Europa che vogliamo""",http://www.trentotoday.it/attualita/antonio-megalizzi-sassoli-trento.html,"Via Tommaso Gar - Trento, Trento, Italia","[46.068163, 11.117119]"
57,Addio definitivo al 'Nord': anche in Trentino nasce la Lega Salvini Premier,http://www.trentotoday.it/politica/lega-salvini-nuovo-partito-perche.html,"Piazza Cesare Battisti - Trento, Trento, Italia","[46.069314, 11.123805]"
58,Fuga dopo l'incidente e omissione di soccorso: a Trento quasi 4 casi al mese,http://www.trentotoday.it/cronaca/incidente-stradale/fuga-dopo-incidente-omissione-reato.html,"Via Ezio Maccani - Trento, Trento, Italia","[46.086631, 11.111712]"
59,Street food 'made in Usa' a Avio per tutto il weekend,http://www.trentotoday.it/eventi/street-food-avio-14-16-febbriaio.html,"Piazza Vittorio Emanuele III - Avio, Trento, Italia","[45.735462, 10.941585]"
60,"Arco, incidente nella notte: auto ribaltata, ragazzo miracolato",http://www.trentotoday.it/cronaca/incidente-stradale/arco-auto-ribaltata.html,"Via Mantova - Arco, Trento, Italia","[45.912676, 10.882541]"
61,"Influenza: colpito il 12% della popolazione trentina, il picco è passato",http://www.trentotoday.it/benessere/salute/influenza-quanti-ammalati.html,"Largo Medaglie d&#039;oro - Trento, Trento, Italia","[46.057786, 11.132864]"
