WKT;area;cod_quart;nome_quart;cod_polo;fumetto;perimetro;nome_polo;sigla;simbolo_attivita;simbolo2-attivita
"POLYGON ((664351.625 5102511.0,664256.75 5102365.0,664195.25 5102249.5,664147.125 5102159.0,664108.75 5102089.0,664057.875 5101979.0,664019.75 5101864.5,663918.375 5101953.5,663857.875 5102052.0,663843.125 5102076.0,663788 5102211,663755.125 5102371.5,663739.125 5102482.5,663729.625 5102570.5,663726.5 5102600.0,663771.25 5102612.0,663853.0 5102632.5,663881.5 5102593.0,663938.625 5102538.0,663964.625 5102514.5,663986.0 5102523.5,664049.875 5102541.5,664068.875 5102489.5,664045.875 5102477.5,664049.5 5102466.0,664056.5 5102461.5,664151.625 5102490.5,664204.75 5102507.0,664260.875 5102526.5,664293.0 5102551.5,664311.625 5102580.0,664333.75 5102560.5,664351.625 5102511.0))";244180;21;SAN PIO X;3;Quartiere SAN PIO X nel polo sociale S.GIUSEPPE-S.CHIARA E RAVINA-ROMAGNANO;2404;S.GIUSEPPE-S.CHIARA E RAVINA-ROMAGNANO;TN 3;;5
"POLYGON ((663035.917104667983949 5106708.822599422186613,663192.4375 5106453.5,663393.5625 5106124.5,663673.0 5105667.5,663523.5 5105584.5,663501.75 5105557.0,663493.5 5105521.5,663490.625 5105480.0,663464.625 5105483.0,663436.875 5105483.5,663419.75 5105487.0,663404.25 5105495.5,663386.125 5105500.0,663357.0 5105494.5,663345.75 5105490.5,663326.125 5105484.0,663317.25 5105474.0,663322.5 5105470.5,663335 5105458,663354.625 5105439.0,663362.625 5105431.0,663405.125 5105357.5,663409.5 5105257.0,663410.375 5105248.0,663416.375 5105195.5,663391.875 5105119.5,663371.875 5105135.0,663321 5105174,663319.875 5105175.0,663247.875 5105226.5,663179 5105272,663070.375 5105342.0,662946.3125 5105420.5,662800.0625 5105514.5,662750.1875 5105548.5,662729.1875 5105562.5,662727.8125 5105563.5,662705.0625 5105579.0,662702.8125 5105580.5,662651.8125 5105615.5,662569.3125 5105667.0,662488.9375 5105737.0,662412.8125 5105805.5,662343.8125 5105881.0,662289.5625 5105948.5,662241.5625 5106014.5,662196.6875 5106079.0,662164.3125 5106140.0,662115.1875 5106227.5,662037.9375 5106378.0,661922.0625 5106602.5,661850.956499348976649 5106736.533675348386168,661847.113450150936842 5106743.712475903332233,661872.659166206954978 5106755.928880710154772,661901.548710162052885 5106764.108500090427697,661987.127342537045479 5106786.197407810017467,662042.606436086003669 5106798.076744370162487,662053.016425419948064 5106820.026264409534633,662082.326399944024161 5106855.020478580147028,662095.290456161019392 5106874.009963150136173,662093.966140700038522 5106876.294915489852428,662116.455741184996441 5106877.154718929901719,662135.01541565998923 5106878.374546750448644,662164.134879754041322 5106877.174332889728248,662180.114549256977625 5106872.014296869747341,662193.584199888980947 5106858.91442461963743,662201.887949327006936 5106854.740784959867597,662209.56330430705566 5106851.751397649757564,662237.483275574981235 5106842.714362249709666,662308.361761974054389 5106813.934308960102499,662316.381596587016247 5106811.404289799742401,662324.341442315024324 5106810.114248719997704,662345.381069562979974 5106811.034061909653246,662374.77053654298652 5106810.793828509747982,662379.470442958991043 5106809.72380982991308,662384.150336066028103 5106806.963821849785745,662387.870235519018024 5106802.843866210430861,662390.400144099956378 5106797.193947830237448,662403.359339406015351 5106726.665117460303009,662414.558815652038902 5106686.935744780115783,662419.728621282032691 5106674.455928470008075,662426.984807771979831 5106664.215762340463698,662446.054821675992571 5106641.082318970002234,662464.07235713605769 5106613.984071070328355,662527.066205937997438 5106615.646122889593244,662610.467538027325645 5106637.179269860498607,662651.091050580958836 5106648.383922879584134,662683.337841400294565 5106659.654849827289581,662711.609936474007554 5106669.146746760234237,662734.557363247033209 5106672.795284690335393,662767.222073892946355 5106668.967949310317636,662784.638762307004072 5106665.813081810250878,662803.398498850408942 5106661.895924666896462,662821.614652766031213 5106658.361294849775732,662839.452054833993316 5106657.662927569821477,662859.093499163980596 5106659.601528179831803,662872.693097532959655 5106662.214670159853995,662944.344323623226956 5106685.513499073684216,662968.477047796943225 5106693.306252219714224,662976.690137012046762 5106694.479481410235167,662993.222944500972517 5106692.879395710304379,663015.94226412603166 5106695.545798550359905,663023.440809083986096 5106697.25419866014272,663022.240546065033413 5106699.30145097989589,663035.917104667983949 5106708.822599422186613))";1517895;6;CAMPOTRENTINO;2;"Quartiere CAMPOTRENTINO nel polo sociale CENTRO STORICO, PIEDICASTELLO, BONDONE E SARDAGNA";5807;"CENTRO STORICO, PIEDICASTELLO, BONDONE E SARDAGNA";TN 6;;5
"POLYGON ((665214.734967930009589 5101925.367614570073783,665242.002788697951473 5101920.913457700051367,665238.469422430964187 5101893.787241449579597,665234.904618703993037 5101810.449478499591351,665236.986316530965269 5101802.259159890003502,665243.519848119001836 5101789.636905539780855,665257.19495672697667 5101773.626409879885614,665262.043982816976495 5101766.562658250331879,665271.099717995966785 5101749.77234399970621,665276.388083392987028 5101741.360577059909701,665288.65262932900805 5101724.268583619967103,665303.481838549021631 5101709.738744210451841,665307.448208636953495 5101705.453412709757686,665315.759171059005894 5101694.891895930282772,665324.734426931012422 5101675.299947139807045,665329.094943934120238 5101668.785678620450199,665336.891259223106317 5101657.49755675252527,665341.608110439032316 5101650.983581589534879,665347.2895488840295 5101642.746836120262742,665351.46845620602835 5101636.933585669845343,665353.620648870011792 5101633.850810199975967,665354.886877279961482 5101634.648612289689481,665355.309944075997919 5101633.860610390082002,665354.129673930001445 5101633.184076439589262,665360.779537320951931 5101624.336154310032725,665365.565309223020449 5101625.235185150057077,665367.867048172047362 5101617.908108809962869,665375.261119498987682 5101590.059568779543042,665376.494242539978586 5101585.100554659962654,665378.610665115644224 5101567.718793724663556,665381.773990600602701 5101543.079189823009074,665383.679679607972503 5101530.985096730291843,665391.091997017036192 5101506.443282740190625,665393.460239190026186 5101501.261536779813468,665398.033023271011189 5101493.8941446300596,665416.746305372565985 5101476.43953822273761,665443.104625932988711 5101453.317124740220606,665451.495582966017537 5101446.420690639875829,665455.840920349000953 5101441.267913199961185,665458.342593944980763 5101436.881991259753704,665461.107465915032662 5101426.026751319877803,665460.901231284951791 5101412.318236690014601,665456.149534931057133 5101368.867651079781353,665455.834635033039376 5101357.223331949673593,665457.751025283941999 5101350.328757660463452,665457.559652050025761 5101337.221352529712021,665456.519876188947819 5101328.931124039925635,665452.509257180034183 5101302.500044140033424,665453.670781973050907 5101301.784020770341158,665453.815400524297729 5101288.173300804570317,665453.917770300991833 5101278.538762549869716,665453.718909936957061 5101273.217129659838974,665458.73972924600821 5101249.556376059539616,665464.140767334960401 5101235.209604609757662,665466.449554752092808 5101219.707719864323735,665467.389179558958858 5101212.626950300298631,665470.056725966045633 5101211.045119130052626,665468.592128472053446 5101204.872703430242836,665468.71578133595176 5101204.085363590158522,665469.026514315279201 5101199.587313174270093,665469.73609777900856 5101188.551326806657016,665470.834753619972616 5101167.169266680255532,665473.72335112397559 5101157.56325448025018,665475.312160584144294 5101153.247785865329206,665304.5625 5101156.5,665287.0625 5101183.5,665213.4375 5101269.5,665188.1875 5101294.0,665154.3125 5101253.5,665125.4375 5101150.5,665123.6875 5101044.0,665176.4375 5100932.5,665262.1875 5100847.5,665320.0625 5100766.0,665330.9375 5100672.5,665262.8125 5100647.0,665247.4375 5100700.5,665198.9375 5100802.5,665138.6875 5100853.0,665055.3125 5100888.5,664979.0625 5100954.5,664913.6875 5100981.5,664890.4375 5101154.5,664880.1875 5101291.0,664875.8125 5101420.5,664877.5625 5101581.5,664880.375 5101721.0,664878.125 5101766.5,664858.0 5101818.5,664802.125 5101931.5,664794.25 5101950.5,664766.625 5102038.0,664757.25 5102094.0,664757.125 5102113.5,664757 5102154,664756.25 5102168.5,664797.25 5102163.0,664862.75 5102168.5,664939 5102178,664991.125 5102184.5,665021.375 5102186.5,665052.625 5102180.0,665067.25 5102188.5,665069.625 5102179.0,665080.5 5102155.0,665110.5625 5102126.0,665139.4375 5102109.0,665187.8125 5102097.0,665191.1875 5102076.0,665199.4375 5102052.5,665197.0625 5102012.5,665200.5625 5101987.0,665200.5625 5101961.0,665199.4375 5101949.5,665204.8125 5101938.0,665214.734967930009589 5101925.367614570073783))";550103;28;SAN BARTOLOMEO;4;Quartiere SAN BARTOLOMEO nel polo sociale OLTREFERSINA E MATTARELLO;4403;OLTREFERSINA E MATTARELLO;TN 4;44;
