key,value
trento,2.2517907784625697
prostituzione,2.163617359279613
ragazze,1.8433737363990943
carabinieri,1.7744213959770658
via,1.4482367999987111
sfruttamento,1.3724318551235315
giro,1.3370335666423645
stato,1.3190280843567668
donne,1.2277096827424556
euro,1.181792048361715
banda,1.085042116356235
clienti,1.08006986570367
prostitute,1.076733265830272
cinese,1.0210649681583217
italia,1.018262669417049
persone,1.0179782260578911
donna,1.0148256935640534
polizia,1.009812044786499
,1.0
stata,0.9718215966397938
milano,0.9439937143882094
indagini,0.9380640993933484
città,0.871272331036143
foto,0.8558109574538291
arrestato,0.8432897003734081
000,0.8381292569383622
altre,0.8378471724294665
poi,0.8351784161461059
comunale,0.8095487385502418
bolzano,0.7966881286692135
dell,0.7889893599336971
proposta,0.7736299188572108
all,0.773294663700403
favoreggiamento,0.7519845420737161
anni,0.7416333518877775
consiglio,0.7397972253246411
arrestati,0.7377730794701928
attività,0.7376820225166647
essere,0.7277178320464301
solo,0.7227527355989262
appartamenti,0.7213955582785319
mese,0.7159419531361184
proprio,0.7019440849935275
trentino,0.6993819852083518
rumeni,0.687873000064114
scoperto,0.6833210308083223
carcere,0.6629986311197629
militari,0.6624481279200324
luomo,0.658268958768825
massaggi,0.6434750488995529
senza,0.6405874960184159
denaro,0.6397808038585575
cittadini,0.637280184429989
case,0.6364392276735097
quali,0.6224275777385745
mesi,0.6203917579663887
nord,0.6174148187524533
comando,0.6165119672156998
consigliere,0.6121712331626521
casa,0.6077018648933209
garda,0.6054412797144033
riva,0.6054412797144033
brennero,0.6041562133133369
cittadino,0.6025517603908217
sabato,0.601351628560744
prostituirsi,0.5942889136483118
appuntamenti,0.5898651745769082
giovane,0.5837634065379045
prestazioni,0.5775202222055428
prostituta,0.5746522842788623
appartamento,0.5712299342039326
vittima,0.5701458881581832
portato,0.5645187087416045
ben,0.5636661980347707
mobile,0.5596347472193554
reati,0.5568452175085563
italiani,0.5564208488989283
mozione,0.5563883400511036
fatto,0.5517344513195946
annunci,0.5480924566257569
estorsione,0.5464255214432452
caso,0.5458436955767221
secondo,0.5456457437710002
cinesi,0.5430212813261472
squadra,0.5400590596217305
uomo,0.5389679648228339
operazione,0.5374346264533697
arresti,0.5350203495474835
legge,0.5335599922921739
questura,0.5315618353874321
carico,0.5310557835097087
strada,0.5278322504375307
http,0.526835132546311
trentotoday,0.526835132546311
quattro,0.526000198395594
venivano,0.5259821916872472
alcune,0.5230496446484207
arrestate,0.5223128897021525
giovani,0.5217410049843803
reato,0.5197822325772492
